Dish,Category,Make next,Make soon?,required pre-prepared ingredient?,Requires,Vegetable ingredients,Vegetable 1,Vegetable 2,Vegetable 3,Vegetable 4,Meat ingredients,Meat 1,Meat 2,Meat 3,Seafood ingredients,Seafood 1,Seafood 2,Seafood 3,Herbs,Herb 1,Herb 2,Herb 3,Herb 4,Pre-prepared ingredients,Pre-prepared ingredient 1,Pre-prepared ingredient 2,Pre-prepared ingredient 3,"Grains, tubers or pulses",Grain/tuber/pulse 1,Grain/tuber/pulse 2,Dairy ingredients,Dairy 1,Dairy 2,Other (non-storecupboard) ingredients,Other ingredient 1,Other ingredient 2,Other ingredient 3,Method and other info,Method,Cuisine,Tags,url 1,url 2,url 3,Book,Page number,Picture 1,Picture 2,Picture 3,Comments
Mooncakes,Desserts,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://thewoksoflife.com/2016/09/lotus-mooncakes-egg-yolks/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+TheWoksOfLife+%28The+Woks+of+Life%29,https://drive.google.com/file/d/0B2q4Gg_d-QV1WXZ1RXZTUnItd3M/view?usp=sharing,,,,,,,
Quick fried chicken,Meat dishes,,,FALSE,";Chicken, leg;",,,,,,,"Chicken, leg",,,,,,,,,,,,,,,,,,,,,,,,,,,"Score inside and salt boneless thighs.
Dredge in:
polenta 100g (100%) or cornstarch
tapioca starch 40g (38%)
rice flour 15g (12%)
salt, pepper, garlic powder

Brown in ghee
Fry veg in same pan as chicken rests.",,,,,,,,,,,
Sous vide tuna,Seafood dishes,,,FALSE,;Tuna;,,,,,,,,,,,Tuna,,,,,,,,,,,,,,,,,,,,,,,"Salt tuna generously, ziploc with olive oil. Herbs, lemon zest optional. Chill 30 minutes.

41C for ~30 mins

Serve chilled (soy and olive oil) or re-season and sear (sesame seeds optional).",,,,,,,,,,,
Miso lemon dressing,Sauces,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"miso, lemon juice, mirin, mustard, olive oil, garlic, and togarashi/chilli.",,,,,,,,,,,
Green beans with olive vegetable,Vegetable dishes,16/09/2016,,FALSE,";Green beans;Pork, mince;",,Green beans,,,,,"Pork, mince",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marinate pork in rice wine, light soy sauce and white pepper.

Slice beans short, char in wok, remove.

Fry ginger (-), garlic (+), pork.
Add:
- olive vegetable
- rice wine
- sugar
- beans
- chilli flakes
- sesame oil
- salt",,,,,,,,,,,
BBQ pork ribs,Meat dishes,17/09/2016,,FALSE,";Pork, ribs;",,,,,,,"Pork, ribs",,,,,,,,,,,,,,,,,,,,,,,,,,,"Grind rub:
mustard seed
black pepper
red chilli
coriander seed
dried oregano
Add paprika, brown sugar, salt, garlic powder

Remove membrane from ribs, apply rub (reserve 2tbsps). 4 drops liquid smoke. Leave 12 hrs.

Cook in oven (or sous vide) at 74C (63C) for 12 hrs (36hrs). Remove from oven, increase to 150C, apply more rub, roast for 40 mins for crusty bark.",,,,,,,,,,,
Memphis-style bbq sauce,Sauces,17/09/2016,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Soften 1 finely chopped onion in butter, add garlic.
Add:
2 cups tomato sauce
1/2 cup cider vinegar
1/3 cup rice vinegar
1/3 cup molasses
3 tablespoons Worcestershire sauce
2 tablespoons packed dark brown sugar
2 teaspoons yellow mustard
1 teaspoon Louisiana hot sauce
1 teaspoon salt
1 teaspoon freshly ground black pepper
1/4 teaspoon cayenne pepper

Simmer 20 mins, blend. Refrigerate in jar for up to 1 month.",,,http://www.seriouseats.com/recipes/2011/05/sauced-memphis-style-barbecue-sauce.html,,,,,,,,
Braised arrowroot,Carbohydrates,17/09/2016,,FALSE,;Spring onion;Chicken stock;Arrowroot;,,,,,,,,,,,,,,,Spring onion,,,,,Chicken stock,,,,Arrowroot,,,,,,,,,,"Fry ginger, garlic. Add stock, dark soy, rice, wine, brown sugar, five spice (optional: bacon, pork belly, jinhua ham, lapcheong).
Peel and slice arrowroot 1/2 cm rounds. Simmer 20-30 minutes. Season, garnish with spring onion.",,,,,,,,,,,
Leeks with yoghurt,Vegetable dishes,,,FALSE,;Leeks;Yoghurt;,,Leeks,,,,,,,,,,,,,,,,,,,,,,,,,Yoghurt,,,,,,,"Slowly caramelise leeks in butter and olive oil, chili flakes/paprika, dried mint.

Mix 1 egg yolk, corn starch, yoghurt. Add to leeks and warm through.

Options: thin with chicken stock for soup. Pour over caramelised butter.",,,,,,,,,,,
Brinjal and labneh salad,Salads,,,FALSE,";Aubergine;Tomatoes, fresh;Parsley;Labneh;",,Aubergine,"Tomatoes, fresh",,,,,,,,,,,,Parsley,,,,,Labneh,,,,,,,,,,,,,,"Strain labneh to semi-solid balls. Roll in roasted cumin, keep in olive oil.
Slow roast cherry tomatoes.
Char brinjal and deskin.
Assemble all with parsley, walnuts, lemon, olive oil, crushed garlic.",,,,,,,,,,,
Roast duck,Meat dishes,,,FALSE,";pomegranate;Duck, whole;",,pomegranate,,,,,"Duck, whole",,,,,,,,,,,,,,,,,,,,,,,,,,,"Brine duck whole:
salt:sugar 1:1 (6% brine)
garlic cloves
yellow mustard seeds
ginger
bay leaves
cloves
juniper
cracked peppercorns
cracked cordiander
star anise

OR: dry rub with salt and baking powder (4:1), 12-24 hours.

Roast max 20min, then v slow until ~60C (breast 57C, leg 63-70). Deglaze with pomegranate juice, carve duck and serve with seeds, gravy.",,,,,,,,,,,
Asparagus XO,Vegetable dishes,,,FALSE,;Mushrooms;Asparagus;prosciutto;,,Mushrooms,Asparagus,,,,prosciutto,,,,,,,,,,,,,,,,,,,,,,,,,,,"Render fat from prosciutto offcuts. Add oil, XO (+), asparagus batons and then fresh meaty shiitake.",,,,,,,,,,,
Braised duck with yam,Meat dishes,17/10/2016,,FALSE,";Duck, leg;Spring onion;Taro;",,,,,,,"Duck, leg",,,,,,,,Spring onion,,,,,,,,,Taro,,,,,,,,,,"Shallow fry large taro/yam. Remove

Add sugar, smashed garlic, ginger slices, spring onion whites.
Brown duck pieces.

Simmer with:
rice wine
oyster sauce
light & dark soy
fermented bean curd 
water

Once duck is done, return yam for 5 minutes.
Garnish spring onion.",,,,,,,,,,,
Brinjal fritters,Vegetable dishes,,,FALSE,;Brinjal;,,Brinjal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"whisk batter and chill 20 minutes:
75g gram flour
1/4 tsp bicarb
salt
100ml soda water
optional: finely chopped rosemary

slice brinjal 1cm rounds. salt if ang moh type.

dry brinjal, coat in batter, shallow fry until golden. salt and keep warm. drizzy with honey.",,,,,,Casa Moro,236,,,,
Sous vide leg of lamb,Meat dishes,,,FALSE,";Lamb, leg;",,,,,,,"Lamb, leg",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butterfly leg.

Make sauce/stuffing, eg:
- black olives, garlic, parsley, olive oil

1/2 sauce -> inside lamb. Roll, and tie (start with ends, work in).

Cook 53 C for 2 hours.

Sear in cast iron pan / max oven. Slice and serve with remaining sauce.",,,http://www.seriouseats.com/recipes/2016/10/sous-vide-leg-of-lamb-with-black-olives-recipe.html,,,,,,,,
Sous-vide bacon,Meat dishes,,,FALSE,;Bacon;,,,,,,,Bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,"63C, 8 - 48 hours. Keep in packaging.

To finish, brown on one side ~ 2 minutes until crisp.",,,,,,,,,,,
Sous vide cheesecake,Desserts,12/11/2016,,FALSE,";Cream cheese;Cream, sour;Graham cracker;",,,,,,,,,,,,,,,,,,,,,,,,,,,Cream cheese,"Cream, sour",,Graham cracker,,,,"Makes 6
300g cream cheese
40g sour cream
40g sugar
1 tsp corn starch
1 tsp lemon juice
salt
vanilla extract
1 egg and 1 egg yolk

crust:
graham cracker fine crumbs, add butter until it holds together. bake 8 minutes at 175C in glass jars. cool

filling:
mix cream cheese, sugar, cornstarch, and salt; then
sour cream, lemon and vanilla; then
eggs

fill jars and cook at 80C for two hours. chills for at least 4 hours. remove from fridge 20 minutes before serving.
Optional topping: fresh fruit in syrup.",,,,,,,,,,,
Nasi kunyit,Carbohydrates,29/01/2017,,FALSE,";Pandan;Rice, sticky;",,,,,,,,,,,,,,,Pandan,,,,,,,,,"Rice, sticky",,,,,,,,,,"Soak rice with tumeric, assam keping, lime, pandan >4hrs.
Steam for 15 minutes. Mix in coconut milk (rice: milk 100:40),  salt and white pepper, steam 20 minutes. Serve in kalo pot, lined with ziploc bag.",,,,,,,,,,,
Curry chicken,Meat dishes,,,FALSE,";Chicken, whole;Potato;",,,,,,,"Chicken, whole",,,,,,,,,,,,,,,,,Potato,,,,,,,,,,"Roast & grind spices (c4a):
coriander
cumin
cinamon
cloves
anis

Rempah:
shallots
dried chilli
serai
kunyit
candlenut
garlic

Brown chicken, remove and fry rempah. Simmer altogether with stock, curry leaves, yellow potatoes. Can sous vide breast.",,,,,,,,,,,
Tamale pie,Meat dishes,24/09/2017,,FALSE,";Sweet corn;Bell pepper;Beef, skirt;Buttermilk;",,Sweet corn,Bell pepper,,,,"Beef, skirt",,,,,,,,,,,,,,,,,,,,Buttermilk,,,,,,,"Brown 30g of butter, reserve.
Char mix of chillies, soak in chicken stock, blend.
Char meat on one side, remove.
Char corn kernels, then soften onion and pepper.
Add garlic, spices - coriander, cumin.
Add stock and return meat, 115C oven for 2.5 hrs.
Mix in cheese (optional), fish sauce, coriander and spring onion.

For crust, mix dry:
140g AP flour
140g fine cornmeal
salt, sugar
2 tsp baking powder
1/2 tsp bicarb
and wet:
2 eggs, 80ml milk, 140ml buttermilk.
Slowly mix in brown butter into wet, combine with dry. 
Cover stew, bake 20 mins at 220C.",,,http://www.seriouseats.com/recipes/2015/01/best-tamale-pie-braised-skirt-steak-beef-charred-corn-brown-butter-cornbread-crust-recipe.html,,,,,,,,
Tahini cake,Desserts,09/04/2017,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recipes_Images/Tahini cake.Picture 1.110329.jpg,,,
